undetermined read_count	1492309
mapped read_count	13422618
overall read_count	14914927.0

undetermined yield	450677318
mapped yield	4053630636
overall yield	4504307954

undetermined_proportion	0.1001
mapped_proportion	0.8999

sample_name	number_of_reads	yield	fraction_of_all_reads
KGKY-RWB109-TPM-2023-MSMT-1	12794	3863788	0.0009
KGKY-RWB104-RSA-2023-MSMT-1	13964	4217128	0.0009
KGKY-RUG-099-CVF-2023-MSMT-1	13219	3992138	0.0009
KGKY-RUG-094-JMP-2023-MSMT-1	12844	3878888	0.0009
KGKY-RUG-081-PVA-2023-MSMT-1	12852	3881304	0.0009
KGKY-RUG-076-PAP--2023-MSMT-1	13006	3927812	0.0009
KGKY-RUG-016-EJS-2023-MSMT-1	13388	4043176	0.0009
KGKA-BKG228-SMP-2023-MSMT-1	12984	3921168	0.0009
KGBR-BUT294-FDB-2023-MSMT-1	14041	4240382	0.0009
KGBR-BUT156-NIN-2023-MSMT-1	13621	4113542	0.0009
KGBR-BUT149-BBB-2023-MSMT-1	13298	4015996	0.0009
KGBR-BUT100-EAS-2023-MSMT-1	12998	3925396	0.0009
KGBR-BUT020-SRK-2023-MSMT-1	14038	4239476	0.0009
KGBI-KZB-005-KSH-2023-MSMT-1	12852	3881304	0.0009
KGNG-CVU050-SEM-2023-MSMT-1	11601	3503502	0.0008
KGKY-RUG-120-AVS-2023-MSMT-1	12239	3696178	0.0008
KGKY-RUG-117-AMK-2023-MSMT-1	11856	3580512	0.0008
KGKY-RUG-035-JBR-2023-MSMT-1	12446	3758692	0.0008
KGBR-BUT253-ASR-2023-MSMT-1	11739	3545178	0.0008
KGBR-BUT246-HKS-2023-MSMT-1	11840	3575680	0.0008
KGBI-KZB-020-MLC-2023-MSMT-1	11920	3599840	0.0008
KGBI-KZB-013-BVM-2023-MSMT-1	12259	3702218	0.0008
KGBI-KZB-010-MSR-2023-MSMT-1	11767	3553634	0.0008
3D7-2023-MSMT-9	11836	3574472	0.0008
3D7-2023-MSMT-16	11205	3383910	0.0008
3D7-2023-MSMT-13	11959	3611618	0.0008
KGNG-CVU047-AMD-2023-MSMT-1	10299	3110298	0.0007
KGNG-CVU037-SLK-2023-MSMT-1	10428	3149256	0.0007
KGKY-RWB123-DMJ-2023-MSMT-1	10459	3158618	0.0007
KGKY-RWB-293-AZP-2023-MSMT-1	10248	3094896	0.0007
KGKY-RWB-291-HZA-2023-MSMT-1	10626	3209052	0.0007
KGKY-RWB-186-FWO-2023-MSMT-1	10146	3064092	0.0007
KGKY-RUG-085-AFS-2023-MSMT-1	9839	2971378	0.0007
KGKY-RUG-034-DRM-2023-MSMT-1	10780	3255560	0.0007
KGBR-BUT102-RBY-2023-MSMT-1	10873	3283646	0.0007
KGBR-BUT017-NAM-2023-MSMT-1	10837	3272774	0.0007
KGBI-KZB-038-YIC-2023-MSMT-1	10105	3051710	0.0007
KGBI-KZB-033-ARD-2023-MSMT-1	11102	3352804	0.0007
3D7-2023-MSMT-8	10033	3029966	0.0007
3D7-2023-MSMT-7	10130	3059260	0.0007
3D7-2023-MSMT-5	10158	3067716	0.0007
3D7-2023-MSMT-15	10812	3265224	0.0007
3D7-2023-MSMT-11	9956	3006712	0.0007
3D7-2023-MSMT-10	10172	3071944	0.0007
KGNG-CVU031-AJJ-2023-MSMT-1	9253	2794406	0.0006
KGNG-CVU009-JWS-2023-MSMT-1	9055	2734610	0.0006
